monthOfFirstRegistration,fuelType,total
2009-09-01 00:00:00.000000 UTC,PETROL,1
2009-07-01 00:00:00.000000 UTC,PETROL,1
2009-10-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2012-02-01 00:00:00.000000 UTC,PETROL,3
2014-04-01 00:00:00.000000 UTC,PETROL,2
2011-01-01 00:00:00.000000 UTC,PETROL,1
2018-05-01 00:00:00.000000 UTC,ELECTRICITY,2
2002-03-01 00:00:00.000000 UTC,PETROL,1
2014-06-01 00:00:00.000000 UTC,ELECTRICITY,1
2018-03-01 00:00:00.000000 UTC,ELECTRICITY,1
2020-01-01 00:00:00.000000 UTC,ELECTRICITY,12
2001-07-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2003-12-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2004-04-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2014-11-01 00:00:00.000000 UTC,PETROL,1
2022-04-01 00:00:00.000000 UTC,DIESEL,361
2022-04-01 00:00:00.000000 UTC,PETROL,3
2022-05-01 00:00:00.000000 UTC,ELECTRICITY,5
2022-06-01 00:00:00.000000 UTC,DIESEL,497
2022-06-01 00:00:00.000000 UTC,ELECTRICITY,8
2022-06-01 00:00:00.000000 UTC,PETROL,8
2022-07-01 00:00:00.000000 UTC,HYBRID ELECTRIC,1
2022-08-01 00:00:00.000000 UTC,DIESEL,403
2022-09-01 00:00:00.000000 UTC,PETROL,4
2022-09-01 00:00:00.000000 UTC,DIESEL,553
2022-08-01 00:00:00.000000 UTC,PETROL,2
2012-01-01 00:00:00.000000 UTC,PETROL,1
2022-12-01 00:00:00.000000 UTC,PETROL,6
2018-08-01 00:00:00.000000 UTC,DIESEL,474
2004-11-01 00:00:00.000000 UTC,DIESEL,543
2008-08-01 00:00:00.000000 UTC,DIESEL,431
2014-05-01 00:00:00.000000 UTC,DIESEL,532
2014-06-01 00:00:00.000000 UTC,DIESEL,626
2018-10-01 00:00:00.000000 UTC,DIESEL,388
2018-11-01 00:00:00.000000 UTC,DIESEL,462
2017-05-01 00:00:00.000000 UTC,DIESEL,584
2017-06-01 00:00:00.000000 UTC,DIESEL,777
2016-07-01 00:00:00.000000 UTC,DIESEL,503
2016-02-01 00:00:00.000000 UTC,DIESEL,576
2016-06-01 00:00:00.000000 UTC,DIESEL,835
2010-03-01 00:00:00.000000 UTC,DIESEL,762
2010-10-01 00:00:00.000000 UTC,DIESEL,309
2007-02-01 00:00:00.000000 UTC,DIESEL,693
2007-09-01 00:00:00.000000 UTC,DIESEL,855
2012-05-01 00:00:00.000000 UTC,DIESEL,401
2015-08-01 00:00:00.000000 UTC,DIESEL,392
2009-10-01 00:00:00.000000 UTC,DIESEL,332
2006-03-01 00:00:00.000000 UTC,DIESEL,1168
2001-04-01 00:00:00.000000 UTC,DIESEL,249
2006-09-01 00:00:00.000000 UTC,DIESEL,825
2011-04-01 00:00:00.000000 UTC,DIESEL,295
2004-07-01 00:00:00.000000 UTC,DIESEL,508
2013-08-01 00:00:00.000000 UTC,DIESEL,299
2010-09-01 00:00:00.000000 UTC,DIESEL,529
2008-05-01 00:00:00.000000 UTC,DIESEL,739
2006-06-01 00:00:00.000000 UTC,DIESEL,811
2018-12-01 00:00:00.000000 UTC,DIESEL,294
2011-07-01 00:00:00.000000 UTC,DIESEL,305
2011-12-01 00:00:00.000000 UTC,DIESEL,249
2005-11-01 00:00:00.000000 UTC,DIESEL,437
2001-06-01 00:00:00.000000 UTC,DIESEL,237
2003-10-01 00:00:00.000000 UTC,DIESEL,449
2005-01-01 00:00:00.000000 UTC,DIESEL,701
2019-09-01 00:00:00.000000 UTC,DIESEL,609
2020-08-01 00:00:00.000000 UTC,DIESEL,470
2020-09-01 00:00:00.000000 UTC,DIESEL,734
2021-02-01 00:00:00.000000 UTC,DIESEL,541
2019-12-01 00:00:00.000000 UTC,DIESEL,207
2016-01-01 00:00:00.000000 UTC,PETROL,2
2018-07-01 00:00:00.000000 UTC,PETROL,2
2017-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,1
2002-05-01 00:00:00.000000 UTC,DIESEL,447
2021-09-01 00:00:00.000000 UTC,ELECTRICITY,1
2021-11-01 00:00:00.000000 UTC,DIESEL,519
2006-09-01 00:00:00.000000 UTC,PETROL,3
2009-02-01 00:00:00.000000 UTC,DIESEL,382
2002-08-01 00:00:00.000000 UTC,DIESEL,250
2021-12-01 00:00:00.000000 UTC,PETROL,1
2003-12-01 00:00:00.000000 UTC,PETROL,3
2004-02-01 00:00:00.000000 UTC,PETROL,1
2007-10-01 00:00:00.000000 UTC,PETROL,1
2018-12-01 00:00:00.000000 UTC,PETROL,2
2005-09-01 00:00:00.000000 UTC,PETROL,3
2002-09-01 00:00:00.000000 UTC,PETROL,3
2003-09-01 00:00:00.000000 UTC,PETROL,5
2003-06-01 00:00:00.000000 UTC,PETROL,3
2008-03-01 00:00:00.000000 UTC,PETROL,2
2008-04-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2008-06-01 00:00:00.000000 UTC,PETROL,1
2018-09-01 00:00:00.000000 UTC,PETROL,4
2019-03-01 00:00:00.000000 UTC,PETROL,8
2013-04-01 00:00:00.000000 UTC,PETROL,1
2007-07-01 00:00:00.000000 UTC,PETROL,1
2016-03-01 00:00:00.000000 UTC,ELECTRICITY,3
2016-09-01 00:00:00.000000 UTC,ELECTRICITY,1
2019-01-01 00:00:00.000000 UTC,ELECTRICITY,1
2002-02-01 00:00:00.000000 UTC,PETROL,1
2005-12-01 00:00:00.000000 UTC,PETROL,1
2012-05-01 00:00:00.000000 UTC,PETROL,1
2008-09-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2017-10-01 00:00:00.000000 UTC,PETROL,2
2013-01-01 00:00:00.000000 UTC,ELECTRICITY,7
2013-08-01 00:00:00.000000 UTC,ELECTRICITY,1
2014-08-01 00:00:00.000000 UTC,ELECTRICITY,1
2020-09-01 00:00:00.000000 UTC,ELECTRICITY,3
2002-07-01 00:00:00.000000 UTC,PETROL,2
2017-03-01 00:00:00.000000 UTC,PETROL,3
2010-10-01 00:00:00.000000 UTC,PETROL,1
2019-04-01 00:00:00.000000 UTC,PETROL,2
2020-12-01 00:00:00.000000 UTC,ELECTRICITY,3
2022-02-01 00:00:00.000000 UTC,ELECTRICITY,8
2022-03-01 00:00:00.000000 UTC,ELECTRICITY,12
2022-07-01 00:00:00.000000 UTC,ELECTRICITY,7
2022-09-01 00:00:00.000000 UTC,ELECTRICITY,7
2022-10-01 00:00:00.000000 UTC,DIESEL,424
2022-11-01 00:00:00.000000 UTC,ELECTRICITY,4
2020-03-01 00:00:00.000000 UTC,PETROL,1
2017-12-01 00:00:00.000000 UTC,DIESEL,287
2008-07-01 00:00:00.000000 UTC,DIESEL,593
2007-01-01 00:00:00.000000 UTC,DIESEL,987
2017-09-01 00:00:00.000000 UTC,DIESEL,813
2018-05-01 00:00:00.000000 UTC,DIESEL,544
2012-02-01 00:00:00.000000 UTC,DIESEL,472
2016-09-01 00:00:00.000000 UTC,DIESEL,940
2011-05-01 00:00:00.000000 UTC,DIESEL,382
2016-01-01 00:00:00.000000 UTC,DIESEL,821
2012-10-01 00:00:00.000000 UTC,DIESEL,236
2005-09-01 00:00:00.000000 UTC,DIESEL,759
2002-10-01 00:00:00.000000 UTC,DIESEL,253
2015-04-01 00:00:00.000000 UTC,DIESEL,489
2008-12-01 00:00:00.000000 UTC,DIESEL,238
2005-03-01 00:00:00.000000 UTC,DIESEL,1136
2017-01-01 00:00:00.000000 UTC,DIESEL,839
2003-11-01 00:00:00.000000 UTC,DIESEL,441
2006-11-01 00:00:00.000000 UTC,DIESEL,489
2010-11-01 00:00:00.000000 UTC,DIESEL,265
2002-09-01 00:00:00.000000 UTC,DIESEL,446
2002-03-01 00:00:00.000000 UTC,DIESEL,480
2002-06-01 00:00:00.000000 UTC,DIESEL,396
2005-10-01 00:00:00.000000 UTC,DIESEL,396
2013-03-01 00:00:00.000000 UTC,DIESEL,753
2012-01-01 00:00:00.000000 UTC,DIESEL,595
2016-12-01 00:00:00.000000 UTC,DIESEL,292
2013-04-01 00:00:00.000000 UTC,DIESEL,348
2019-01-01 00:00:00.000000 UTC,DIESEL,909
2013-06-01 00:00:00.000000 UTC,DIESEL,610
2019-03-01 00:00:00.000000 UTC,DIESEL,1250
2004-02-01 00:00:00.000000 UTC,DIESEL,540
2008-03-01 00:00:00.000000 UTC,DIESEL,1304
2005-06-01 00:00:00.000000 UTC,DIESEL,762
2004-08-01 00:00:00.000000 UTC,DIESEL,398
2002-02-01 00:00:00.000000 UTC,DIESEL,306
2004-01-01 00:00:00.000000 UTC,DIESEL,669
2006-01-01 00:00:00.000000 UTC,DIESEL,742
2009-04-01 00:00:00.000000 UTC,DIESEL,399
2021-07-01 00:00:00.000000 UTC,DIESEL,447
2019-08-01 00:00:00.000000 UTC,DIESEL,419
2020-01-01 00:00:00.000000 UTC,DIESEL,736
2019-06-01 00:00:00.000000 UTC,DIESEL,826
2020-07-01 00:00:00.000000 UTC,DIESEL,524
2020-03-01 00:00:00.000000 UTC,DIESEL,482
2009-01-01 00:00:00.000000 UTC,PETROL,1
2020-01-01 00:00:00.000000 UTC,PETROL,3
