monthOfFirstRegistration,fuelType,total
2007-07-01 00:00:00.000000 UTC,HYBRID ELECTRIC,8
2007-02-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2008-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,11
2008-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,11
2008-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,2
2009-03-01 00:00:00.000000 UTC,GAS BI-FUEL,4
2009-05-01 00:00:00.000000 UTC,GAS,1
2014-02-01 00:00:00.000000 UTC,HYBRID ELECTRIC,47
2011-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,12
2011-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,11
2013-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,21
2013-04-01 00:00:00.000000 UTC,HYBRID ELECTRIC,12
2015-05-01 00:00:00.000000 UTC,HYBRID ELECTRIC,43
2020-12-01 00:00:00.000000 UTC,GAS BI-FUEL,2
2021-03-01 00:00:00.000000 UTC,GAS BI-FUEL,9
2021-04-01 00:00:00.000000 UTC,GAS BI-FUEL,7
2001-09-01 00:00:00.000000 UTC,GAS,2
2002-10-01 00:00:00.000000 UTC,GAS BI-FUEL,5
2002-10-01 00:00:00.000000 UTC,GAS,2
2009-08-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2010-09-01 00:00:00.000000 UTC,GAS BI-FUEL,2
2007-08-01 00:00:00.000000 UTC,GAS BI-FUEL,3
2003-08-01 00:00:00.000000 UTC,GAS,1
2011-03-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2005-05-01 00:00:00.000000 UTC,GAS BI-FUEL,8
2005-03-01 00:00:00.000000 UTC,GAS,1
2009-06-01 00:00:00.000000 UTC,GAS,1
2012-03-01 00:00:00.000000 UTC,ELECTRICITY,4
2014-01-01 00:00:00.000000 UTC,ELECTRICITY,6
2016-10-01 00:00:00.000000 UTC,ELECTRICITY,5
2002-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,1
2004-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,1
2005-01-01 00:00:00.000000 UTC,HYBRID ELECTRIC,3
2005-11-01 00:00:00.000000 UTC,HYBRID ELECTRIC,1
2012-01-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2019-10-01 00:00:00.000000 UTC,ELECTRIC DIESEL,9
2014-08-01 00:00:00.000000 UTC,ELECTRIC DIESEL,4
2018-08-01 00:00:00.000000 UTC,GAS DIESEL,1
2018-04-01 00:00:00.000000 UTC,GAS DIESEL,1
2004-09-01 00:00:00.000000 UTC,GAS,1
2002-08-01 00:00:00.000000 UTC,OTHER,1
2009-03-01 00:00:00.000000 UTC,GAS,1
2011-04-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2015-05-01 00:00:00.000000 UTC,ELECTRIC DIESEL,2
2013-06-01 00:00:00.000000 UTC,ELECTRIC DIESEL,2
2014-11-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2016-04-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2016-05-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2003-05-01 00:00:00.000000 UTC,PETROL,2341
2009-01-01 00:00:00.000000 UTC,DIESEL,4212
2008-06-01 00:00:00.000000 UTC,DIESEL,3496
2008-05-01 00:00:00.000000 UTC,PETROL,2130
2007-09-01 00:00:00.000000 UTC,PETROL,3329
2008-01-01 00:00:00.000000 UTC,DIESEL,6060
2009-03-01 00:00:00.000000 UTC,DIESEL,4685
2007-10-01 00:00:00.000000 UTC,DIESEL,1854
2008-10-01 00:00:00.000000 UTC,DIESEL,1317
2004-03-01 00:00:00.000000 UTC,DIESEL,4899
2004-05-01 00:00:00.000000 UTC,DIESEL,2613
2002-04-01 00:00:00.000000 UTC,PETROL,1998
2004-06-01 00:00:00.000000 UTC,PETROL,2779
2020-08-01 00:00:00.000000 UTC,ELECTRIC DIESEL,77
2020-09-01 00:00:00.000000 UTC,ELECTRIC DIESEL,98
2020-10-01 00:00:00.000000 UTC,PETROL,1885
2020-10-01 00:00:00.000000 UTC,DIESEL,821
2020-02-01 00:00:00.000000 UTC,PETROL,2470
2003-07-01 00:00:00.000000 UTC,PETROL,1855
2009-06-01 00:00:00.000000 UTC,DIESEL,2932
2009-09-01 00:00:00.000000 UTC,PETROL,3023
2006-04-01 00:00:00.000000 UTC,PETROL,1986
2002-10-01 00:00:00.000000 UTC,PETROL,1547
2009-07-01 00:00:00.000000 UTC,PETROL,2114
2006-06-01 00:00:00.000000 UTC,PETROL,2712
2001-10-01 00:00:00.000000 UTC,PETROL,1423
2005-04-01 00:00:00.000000 UTC,DIESEL,2868
2005-03-01 00:00:00.000000 UTC,PETROL,3702
2006-08-01 00:00:00.000000 UTC,PETROL,1864
2007-12-01 00:00:00.000000 UTC,DIESEL,995
2005-02-01 00:00:00.000000 UTC,PETROL,2295
2001-03-01 00:00:00.000000 UTC,DIESEL,2402
2007-01-01 00:00:00.000000 UTC,PETROL,3959
2007-06-01 00:00:00.000000 UTC,DIESEL,3844
2005-06-01 00:00:00.000000 UTC,PETROL,2703
2009-05-01 00:00:00.000000 UTC,DIESEL,2482
2001-05-01 00:00:00.000000 UTC,DIESEL,1775
2008-08-01 00:00:00.000000 UTC,PETROL,1422
2007-12-01 00:00:00.000000 UTC,PETROL,692
2004-10-01 00:00:00.000000 UTC,DIESEL,1744
2005-12-01 00:00:00.000000 UTC,DIESEL,1414
2005-08-01 00:00:00.000000 UTC,DIESEL,2242
2020-12-01 00:00:00.000000 UTC,DIESEL,332
2010-12-01 00:00:00.000000 UTC,DIESEL,1021
2010-04-01 00:00:00.000000 UTC,PETROL,1815
2010-06-01 00:00:00.000000 UTC,DIESEL,3598
2010-08-01 00:00:00.000000 UTC,DIESEL,1893
2010-07-01 00:00:00.000000 UTC,DIESEL,2694
2010-09-01 00:00:00.000000 UTC,PETROL,2497
2010-04-01 00:00:00.000000 UTC,DIESEL,2657
2010-07-01 00:00:00.000000 UTC,PETROL,1486
2011-11-01 00:00:00.000000 UTC,DIESEL,1355
2011-10-01 00:00:00.000000 UTC,DIESEL,1665
2011-01-01 00:00:00.000000 UTC,PETROL,2866
2011-02-01 00:00:00.000000 UTC,PETROL,1801
2011-09-01 00:00:00.000000 UTC,PETROL,2294
2012-03-01 00:00:00.000000 UTC,DIESEL,4924
2012-06-01 00:00:00.000000 UTC,DIESEL,3297
2012-11-01 00:00:00.000000 UTC,PETROL,989
2012-01-01 00:00:00.000000 UTC,PETROL,2674
2013-05-01 00:00:00.000000 UTC,DIESEL,2884
2013-11-01 00:00:00.000000 UTC,PETROL,1118
2013-10-01 00:00:00.000000 UTC,DIESEL,1947
2013-07-01 00:00:00.000000 UTC,DIESEL,2568
2013-01-01 00:00:00.000000 UTC,PETROL,2794
2013-12-01 00:00:00.000000 UTC,PETROL,674
2013-07-01 00:00:00.000000 UTC,PETROL,1487
2014-04-01 00:00:00.000000 UTC,DIESEL,2943
2014-03-01 00:00:00.000000 UTC,DIESEL,5109
2014-10-01 00:00:00.000000 UTC,DIESEL,2028
2014-02-01 00:00:00.000000 UTC,PETROL,1857
2014-02-01 00:00:00.000000 UTC,DIESEL,2519
2014-11-01 00:00:00.000000 UTC,PETROL,1162
2014-05-01 00:00:00.000000 UTC,PETROL,1874
2014-03-01 00:00:00.000000 UTC,PETROL,3516
2014-04-01 00:00:00.000000 UTC,PETROL,1600
2015-12-01 00:00:00.000000 UTC,DIESEL,1219
2015-09-01 00:00:00.000000 UTC,DIESEL,3572
2015-06-01 00:00:00.000000 UTC,DIESEL,3620
2015-01-01 00:00:00.000000 UTC,DIESEL,4459
2016-05-01 00:00:00.000000 UTC,PETROL,1916
2016-08-01 00:00:00.000000 UTC,DIESEL,2067
2016-05-01 00:00:00.000000 UTC,DIESEL,2920
2016-03-01 00:00:00.000000 UTC,DIESEL,5483
2016-08-01 00:00:00.000000 UTC,PETROL,1473
2016-04-01 00:00:00.000000 UTC,DIESEL,2672
2016-12-01 00:00:00.000000 UTC,PETROL,721
2016-07-01 00:00:00.000000 UTC,PETROL,1625
2016-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,63
2017-08-01 00:00:00.000000 UTC,PETROL,1552
2017-02-01 00:00:00.000000 UTC,DIESEL,2487
2017-05-01 00:00:00.000000 UTC,PETROL,1759
2017-11-01 00:00:00.000000 UTC,DIESEL,1400
2017-07-01 00:00:00.000000 UTC,DIESEL,2115
2017-01-01 00:00:00.000000 UTC,PETROL,2796
2017-02-01 00:00:00.000000 UTC,HYBRID ELECTRIC,97
2017-04-01 00:00:00.000000 UTC,PETROL,1342
2018-07-01 00:00:00.000000 UTC,DIESEL,2241
2018-01-01 00:00:00.000000 UTC,DIESEL,3471
2018-06-01 00:00:00.000000 UTC,DIESEL,2993
2018-06-01 00:00:00.000000 UTC,PETROL,3942
2018-01-01 00:00:00.000000 UTC,PETROL,3508
2018-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,314
2018-07-01 00:00:00.000000 UTC,ELECTRICITY,20
2018-09-01 00:00:00.000000 UTC,ELECTRICITY,42
2018-02-01 00:00:00.000000 UTC,HYBRID ELECTRIC,127
2019-09-01 00:00:00.000000 UTC,PETROL,3871
2019-02-01 00:00:00.000000 UTC,DIESEL,1815
2019-01-01 00:00:00.000000 UTC,PETROL,4153
2019-05-01 00:00:00.000000 UTC,PETROL,3150
2019-10-01 00:00:00.000000 UTC,DIESEL,1322
2019-11-01 00:00:00.000000 UTC,HYBRID ELECTRIC,263
2019-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,321
2021-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,651
2021-08-01 00:00:00.000000 UTC,ELECTRICITY,159
2021-08-01 00:00:00.000000 UTC,PETROL,1375
2021-01-01 00:00:00.000000 UTC,ELECTRIC DIESEL,80
2021-08-01 00:00:00.000000 UTC,ELECTRIC DIESEL,36
2021-07-01 00:00:00.000000 UTC,HYBRID ELECTRIC,787
2021-05-01 00:00:00.000000 UTC,PETROL,2090
2021-02-01 00:00:00.000000 UTC,PETROL,1564
2021-03-01 00:00:00.000000 UTC,DIESEL,1105
2021-09-01 00:00:00.000000 UTC,GAS BI-FUEL,12
2021-05-01 00:00:00.000000 UTC,DIESEL,721
2006-08-01 00:00:00.000000 UTC,DIESEL,2255
2002-03-01 00:00:00.000000 UTC,PETROL,2997
2012-02-01 00:00:00.000000 UTC,PETROL,1634
2020-10-01 00:00:00.000000 UTC,ELECTRICITY,139
2021-07-01 00:00:00.000000 UTC,ELECTRICITY,140
2015-03-01 00:00:00.000000 UTC,ELECTRICITY,53
2018-03-01 00:00:00.000000 UTC,ELECTRICITY,45
2020-01-01 00:00:00.000000 UTC,ELECTRICITY,112
2002-08-01 00:00:00.000000 UTC,GAS BI-FUEL,3
2012-03-01 00:00:00.000000 UTC,ELECTRIC DIESEL,4
2012-10-01 00:00:00.000000 UTC,ELECTRIC DIESEL,4
2012-04-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2021-06-01 00:00:00.000000 UTC,ELECTRIC DIESEL,87
2007-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,14
2011-05-01 00:00:00.000000 UTC,HYBRID ELECTRIC,18
2016-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,101
2013-05-01 00:00:00.000000 UTC,HYBRID ELECTRIC,20
2013-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,46
2014-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,35
2011-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,37
2017-05-01 00:00:00.000000 UTC,HYBRID ELECTRIC,104
2012-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,6
2010-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,8
2010-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,30
2010-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,2
2014-01-01 00:00:00.000000 UTC,HYBRID ELECTRIC,54
2016-05-01 00:00:00.000000 UTC,HYBRID ELECTRIC,56
2016-04-01 00:00:00.000000 UTC,HYBRID ELECTRIC,71
2019-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,423
2019-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,236
2021-07-01 00:00:00.000000 UTC,ELECTRIC DIESEL,29
2017-08-01 00:00:00.000000 UTC,ELECTRIC DIESEL,2
2021-12-01 00:00:00.000000 UTC,ELECTRICITY,318
2022-01-01 00:00:00.000000 UTC,PETROL,2044
2014-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,38
2013-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,39
2022-06-01 00:00:00.000000 UTC,ELECTRICITY,298
2022-05-01 00:00:00.000000 UTC,ELECTRICITY,277
2022-07-01 00:00:00.000000 UTC,HYBRID ELECTRIC,598
2022-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,744
2022-12-01 00:00:00.000000 UTC,PETROL,752
2022-04-01 00:00:00.000000 UTC,PETROL,1522
2021-10-01 00:00:00.000000 UTC,DIESEL,396
2022-09-01 00:00:00.000000 UTC,PETROL,1741
2021-11-01 00:00:00.000000 UTC,PETROL,1335
2022-08-01 00:00:00.000000 UTC,PETROL,1380
2022-04-01 00:00:00.000000 UTC,DIESEL,414
2022-06-01 00:00:00.000000 UTC,DIESEL,432
2014-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,67
2022-06-01 00:00:00.000000 UTC,PETROL,1717
2022-09-01 00:00:00.000000 UTC,DIESEL,395
2022-08-01 00:00:00.000000 UTC,DIESEL,348
2019-08-01 00:00:00.000000 UTC,ELECTRICITY,61
2007-01-01 00:00:00.000000 UTC,HYBRID ELECTRIC,12
2009-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,8
2022-02-01 00:00:00.000000 UTC,ELECTRIC DIESEL,46
2013-03-01 00:00:00.000000 UTC,ELECTRICITY,5
2021-10-01 00:00:00.000000 UTC,GAS BI-FUEL,7
2014-07-01 00:00:00.000000 UTC,HYBRID ELECTRIC,36
2016-01-01 00:00:00.000000 UTC,ELECTRIC DIESEL,2
2022-05-01 00:00:00.000000 UTC,ELECTRIC DIESEL,55
